0.68627,0.52055,0.57483,0.44227,0.59142,0.18476,0.40408
0.58404,0.53336,0.64647,0.49692,0.5971,0.33555,0.36125
0.6221,0.615,0.64713,0.40975,0.57014,0.34705,0.33486
0.49623,0.3962,0.58535,0.51598,0.61947,0.30016,0.32739
0.65666,0.51832,0.68124,0.45915,0.59199,0.29556,0.34737
0.55818,0.48134,0.77761,0.41869,0.61868,0.32393,0.32721
0.6495,0.45486,0.70899,0.48392,0.54047,0.28522,0.34986
0.40692,0.52461,0.73299,0.41329,0.48731,0.34055,0.2892
0.46826,0.45646,0.71135,0.49273,0.54166,0.38949,0.33719
0.52443,0.45085,0.6961,0.47795,0.48502,0.41587,0.3265
0.37878,0.33118,0.70211,0.44412,0.61593,0.50133,0.31755
0.56358,0.54622,0.71929,0.46688,0.60729,0.24408,0.25332
0.53287,0.40913,0.68396,0.435,0.5729,0.28643,0.26655
0.46245,0.44904,0.59745,0.43721,0.52388,0.32487,0.23717
0.62102,0.45657,0.64634,0.43686,0.54839,0.30248,0.30592
0.59755,0.45555,0.7246,0.43046,0.5496,0.31906,0.25424
0.59106,0.45035,0.68897,0.46558,0.54138,0.3119,0.32478
0.52225,0.45414,0.70915,0.3952,0.66726,0.34991,0.27581
0.61248,0.46222,0.61328,0.43181,0.62704,0.25193,0.23465
0.64118,0.34138,0.73225,0.44117,0.59329,0.4118,0.2312
0.53882,0.38635,0.71614,0.39001,0.63797,0.44236,0.27187
0.57904,0.4501,0.58911,0.43478,0.54635,0.43138,0.21433
0.51815,0.47767,0.76014,0.42765,0.46502,0.35042,0.24482
0.58865,0.29536,0.71278,0.45829,0.59421,0.37335,0.26053
