0,0,0,0,42,15,18,19,17,10,5,19,7,72,11,32,9,15,53,0
5,0,0,0,6,16,18,19,10,27,13,5,7,70,78,35,7,16,54,0
6,0,0,0,0,13,19,18,21,9,8,7,6,70,11,34,14,19,0,0
0,0,0,0,0,14,17,19,12,8,10,20,7,70,12,33,11,19,53,0
0,0,0,0,0,11,18,19,20,6,10,22,9,69,76,81,89,0,0,0
0,0,0,0,0,12,17,18,19,27,7,20,8,11,73,34,7,13,52,0
0,0,0,0,45,10,15,18,16,27,10,6,7,70,75,83,10,21,0,0
0,0,0,0,0,12,16,18,20,27,28,21,10,69,76,30,6,20,0,0
0,0,0,0,0,7,15,18,20,26,10,20,7,68,15,32,9,17,0,0
0,0,0,0,0,16,18,20,22,10,8,7,8,5,78,33,37,39,42,8
0,0,0,0,45,13,17,20,21,29,11,7,5,21,74,83,14,3,51,0
6,0,0,0,0,0,3,13,23,28,15,22,13,58,71,79,8,39,16,12
0,0,0,0,0,14,17,19,22,24,11,18,8,71,9,33,37,19,41,39
4,0,0,0,6,16,18,19,20,26,26,20,11,2,78,32,37,40,16,12
5,0,0,0,0,14,18,18,14,29,13,5,8,68,78,34,20,29,22,0
0,0,0,0,46,14,17,19,21,27,14,8,10,4,75,33,3,41,43,4
0,0,0,0,4,15,17,19,22,29,28,20,8,5,9,34,4,40,16,13
9,0,0,0,0,8,19,24,27,30,8,11,4,68,72,34,18,8,49,3
0,0,0,0,0,10,17,19,22,15,4,18,6,0,0,35,38,5,50,0
5,0,0,0,0,6,17,16,17,27,7,10,7,69,78,33,7,9,0,0
0,0,0,0,0,8,17,15,9,29,8,8,8,0,0,33,38,3,19,0
0,0,0,0,0,10,18,19,22,28,4,17,5,0,34,17,6,0,0,0
0,0,0,0,0,10,18,16,14,29,5,7,5,70,80,16,12,17,0,0
0,0,0,0,0,12,17,18,20,28,8,21,10,69,65,14,39,10,51,0
0,0,0,0,0,3,16,17,10,27,8,7,8,0,0,0,4,23,0,0
