3,27,31,30,27,18,16,16,15,10,11,12,32,30,18,10,9,18,0,0
3,27,31,29,27,17,16,16,15,9,12,4,12,9,32,5,6,14,0,0
0,0,35,31,26,16,15,16,16,5,13,9,32,8,19,6,19,10,32,0
42,40,39,31,27,16,15,17,16,8,13,3,10,10,20,4,3,6,0,0
6,41,0,30,25,26,16,16,15,10,10,12,35,33,19,24,4,6,0,0
8,42,45,0,27,16,16,18,16,9,7,13,12,5,19,3,7,3,36,0
6,42,0,32,25,27,15,17,15,11,12,12,12,5,17,26,7,6,33,0
0,39,42,0,26,27,16,17,14,8,13,11,28,4,3,12,5,11,0,0
0,41,43,31,27,17,15,17,16,10,13,7,32,3,20,13,5,3,38,0
41,39,43,31,25,27,16,17,14,6,12,11,13,7,19,5,8,16,38,0
41,37,41,0,25,25,15,16,14,9,13,11,32,32,19,6,7,12,15,5
4,37,40,45,27,26,15,17,15,8,12,12,12,8,20,3,5,7,15,6
4,40,43,30,26,17,16,16,16,12,13,13,12,5,19,13,5,13,0,0
4,0,0,0,26,27,17,16,16,13,12,11,32,31,19,15,6,13,0,0
8,0,0,0,0,28,16,17,16,13,12,12,32,18,18,15,8,18,21,0
8,0,0,0,27,27,16,17,16,13,9,13,12,26,18,27,7,16,37,0
10,41,42,0,26,16,15,17,16,10,12,12,11,9,18,24,9,42,35,0
9,38,40,0,27,27,17,18,15,12,11,13,11,24,20,25,7,8,0,0
9,0,0,0,26,26,16,18,16,12,12,12,11,3,18,15,10,10,13,0
11,0,0,0,0,27,19,18,17,13,12,13,12,30,35,28,9,4,0,0
10,0,0,34,26,26,16,17,16,13,6,14,5,7,8,26,10,8,0,0
10,0,0,0,0,28,17,18,16,13,12,12,12,10,19,29,10,9,0,0
9,0,0,29,27,27,16,17,17,13,12,14,12,22,19,13,10,10,0,0
11,40,42,0,26,26,17,18,16,13,12,13,12,6,18,28,9,5,33,0
10,0,0,32,27,27,17,18,17,11,12,13,12,23,17,15,10,3,32,0
